key,subject,chapter,concept,quick_len,structure_len,examples_len,theory_len,example_hash,theory_hash,structure_hash,direct_answer_flag,linux_has_dogam
sql:1,sql,제1장 SELECT 기본 조회,SELECT 기본 조회,4,4,1,6,e5c1a8ed74eeee392ddab4d699145369,7372a5aa1968ffe6982712d8febea4d6,f376aa0a7795bd6d6ec16906b1e9c76b,,YES
sql:2,sql,제1장 SELECT 기본 조회,SELECT 기본 조회,4,4,1,6,d4c6dbd23f2be7a5aac481fa44c21e4c,a2f213a050655fbe5f3db4b81d8db111,f376aa0a7795bd6d6ec16906b1e9c76b,,YES
sql:3,sql,제1장 SELECT 기본 조회,AS 별칭 지정,4,4,1,6,928430a3cae2f2708630c67ec8113720,1cfd5b7573005c407d68c04d8c02bb64,6d55d830ca595d3acff502a1bd793384,,YES
sql:4,sql,제1장 SELECT 기본 조회,DISTINCT 중복 제거,4,4,1,6,19feff0b65fa55128c2b2c7233966050,24072a39f0c3ba90cb6af30eff88689d,3b0ca860b6f7fc5b666798ad010bb867,,YES
sql:5,sql,제1장 SELECT 기본 조회,SELECT 실행 결과표 추적,4,4,1,6,43d126ec99f4b4bf3dfdbbc6cd30bd7a,c90d33a76e721e0ba77a5b8a94d5d3dc,d12495bcf37215a3008dc400ff0ac495,,YES
sql:6,sql,제1장 SELECT 기본 조회,SELECT 기본 조회,4,4,1,6,5a419fc9d7eb8a5e25372294cb6330b9,3415efce3a0efe72e01927fbcf03bf01,f376aa0a7795bd6d6ec16906b1e9c76b,,YES
sql:7,sql,제1장 SELECT 기본 조회,SELECT 실행 결과표 추적,4,4,1,6,6332d9a855e51e07bef4ed7df866f9e5,c90d33a76e721e0ba77a5b8a94d5d3dc,9669f43d0ac9f2d705c7cdde0e0aa6bc,,YES
sql:8,sql,제1장 SELECT 기본 조회,SELECT 기본 조회,4,4,1,6,0be409ba7b309565f3af309c697ec04c,b6f224831f10f7ad0c89397a32eab273,bf45a9040f2f22bf286f77744eb36889,,YES
sql:9,sql,제1장 SELECT 기본 조회,SELECT 기본 조회,4,4,1,6,e2a90b29d6b41d92bf576cc0d04d1663,736781303ec8614a331785a215321c69,ca170d1548ffd9131c22d15820251683,,YES
sql:10,sql,제1장 SELECT 기본 조회,AS 별칭 지정,4,4,1,6,f4e831c0774786872c20c0eab9d12e26,605a2391511e2af275111ddb8f541c1f,99c57387704a333db830b90123de0abe,,YES
sql:11,sql,제2장 WHERE 조건식 기초,WHERE 조건 필터링,4,4,1,6,4a7688f106a44a891429193c3646d8eb,13a879a05ea53b8cff458d6667df0d2b,adf9022f08f58c88f85bb250caefa1ed,,YES
sql:12,sql,제2장 WHERE 조건식 기초,WHERE 조건 필터링,4,4,1,6,6360ef7be502fc69204bf73aaf8e9fe2,3d895dc2496a3cdf2e31bae0ed46f5b5,6c05044733c98838e976c83bdc5c20a0,,YES
sql:13,sql,제2장 WHERE 조건식 기초,WHERE 조건 필터링,4,4,1,6,4e18a4bad15a44dde5e2d75c710ec03f,1bac29561a97b341f14cd5fb49382b4b,5aad8aaf59ae7a7394f0705c9f82cc9d,,YES
sql:14,sql,제2장 WHERE 조건식 기초,WHERE 조건 실행 결과 추적,4,4,1,6,291b3cdc5016ce90aa88a557696984c8,a1fc74a4b4befad8100a184a370dbf60,d60c83da625711909932e2f2a7811c8b,,YES
sql:15,sql,제2장 WHERE 조건식 기초,WHERE 조건 필터링,4,4,1,6,aab211f261c5df8d6d117575212b7b71,a4e261182ee56a074e9b51b15dd6190f,4ecfdf2c95b2f8d920a2e8f0bdf72984,,YES
sql:16,sql,제2장 WHERE 조건식 기초,ORDER BY 정렬 방향,4,4,1,6,dab0cedbafb8c4471f2bd1d02d8d0b8e,60d9ce6fc8d19244aabccf60472ec04b,9805455761e08752f7bd17b0d96c9e56,,YES
sql:17,sql,제2장 WHERE 조건식 기초,WHERE 조건 실행 결과 추적,4,4,1,6,f08a4c3143637b0385b14fc2e2cad35c,a1fc74a4b4befad8100a184a370dbf60,698b4926b8c0dc5e764fc14a61216f65,,YES
