subject,questionNo,chapter,oldConcept,newConcept,changed,matchingBasis,questionSnippet,exampleSnippet,answerLeakCheck,reviewNote
sql,1,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 모든 사원의 모든 정보를 조회하는 SQL문을 쓰시오. [사원] 사원번호 이름 부서 급여 1001 김민수 총무부 280 1002 박서연 회계부 300 1003 이도윤 인사부 290,"SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,2,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 사원의 이름과 부서만 조회하는 SQL문을 쓰시오. [사원] 사원번호 이름 부서 급여 1001 김민수 총무부 280 1002 박서연 회계부 300 1003 이도윤 인사부 290,"SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,3,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,다음 SQL문의 실행 결과로 출력되는 열의 이름이 사원명 이 되도록 빈칸에 들어갈 알맞은 구문을 쓰시오. SELECT 이름 ( ) FROM 사원;,"SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,4,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 부서 목록을 중복 없이 조회하는 SQL문을 쓰시오. [사원] 사원번호 이름 부서 1001 김민수 총무부 1002 박서연 회계부 1003 이도윤 총무부 1004 최하늘 인사부,"SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,5,제1장 SELECT 기본 조회,논리 조건과 NULL,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [상품] 상품코드 상품명 가격 A01 키보드 30000 A02 마우스 15000 A03 모니터 200000 SELECT 상품명 FROM 상품;","SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,6,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,"다음 테이블을 조회할 때, 이름 , 급여 열만 선택하여 출력하는 SQL문을 쓰시오. [사원] 사원번호 이름 부서 급여 1001 김민수 총무부 280 1002 박서연 회계부 300","SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,7,제1장 SELECT 기본 조회,논리 조건과 NULL,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [학생] 학번 이름 학과 202601 강지우 컴퓨터 202602 오민재 전자 SELECT 이름 AS 학생명, 학과 AS 소속학과 FROM 학생;","SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,8,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,"다음 문장이 올바르게 실행되도록 빈칸에 들어갈 테이블 이름을 쓰시오. SELECT 이름, 연락처 FROM ( ); [회원] 회원번호 이름 연락처 1 정수빈 010-1111-2222 2 한예린 010-3333-4444","SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,9,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,"다음 도서 테이블에서 도서번호 , 도서명 , 가격 순서로 모든 열을 조회하는 SQL문을 쓰시오. [도서] 도서번호 도서명 가격 B01 SQL입문 18000 B02 파이썬기초 22000","SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,10,제1장 SELECT 기본 조회,SELECT 기본 조회,SELECT 기본 조회와 컬럼 선택,Y,SQL 절/장/키워드 기준 매칭,"다음 요구사항에 맞는 SQL문을 쓰시오. [테이블 구조] 테이블명 필드 거래내역 거래번호, 거래일자, 금액, 거래구분, 담당자 [거래내역] 거래번호 거래일자 금액 거래구분 담당자 T001 2026-01-03 120000 입금 김민수 T002 2026-01-05 85000 출금 박서연 T003 2026-01-07 230000 입금 이도윤 요구사항 거래내역 테이블에서 거래번호 , 거래일자 , 금액 열만 조회한다. 조회 결과에서 금","SELECT 도서명, 가격 FROM 도서; -- 필요한 컬럼만 조회합니다. SELECT * FROM 강의실; -- 모든 컬럼을 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,11,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 급여가 300 이상인 사원의 이름과 급여를 조회하는 SQL문을 쓰시오. [사원] 사원번호 이름 부서 급여 1001 김민수 총무부 280 1002 박서연 회계부 300 1003 이도윤 인사부 320,"SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,12,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,다음 테이블에서 부서가 회계부 인 사원의 모든 정보를 조회하는 SQL문을 쓰시오. [사원] 사원번호 이름 부서 급여 1001 김민수 총무부 280 1002 박서연 회계부 300 1003 이도윤 인사부 320,"SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,13,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 빈칸에 들어갈 알맞은 비교 연산자를 쓰시오. SELECT 이름, 점수 FROM 성적 WHERE 점수 ( ) 80; 조건: 점수가 80점 이상인 학생만 조회한다.","SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,14,제2장 WHERE 조건식 기초,논리 조건과 NULL,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [상품] 상품코드 상품명 가격 A01 키보드 30000 A02 마우스 15000 A03 모니터 200000 SELECT 상품명, 가격 FROM 상품 WHERE 가격 < 50000;","SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,15,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,다음 학생 테이블에서 학년 이 2인 학생의 이름 만 조회하는 SQL문을 쓰시오. [학생] 학번 이름 학년 학과 202601 강지우 1 컴퓨터 202602 오민재 2 전자 202603 한서윤 2 컴퓨터,"SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,16,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,다음 요구사항에 맞는 SQL문을 쓰시오. 요구사항 회원 테이블에서 나이가 20 이상인 회원의 이름과 나이를 조회한다. 정렬은 하지 않는다. [회원] 회원번호 이름 나이 지역 1 정수빈 19 서울 2 한예린 22 경기 3 오시우 25 인천,"SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,17,제2장 WHERE 조건식 기초,논리 조건과 NULL,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문의 실행 결과를 쓰시오. 작성 기준: 출력 열 이름과 결과 행을 직접 작성하세요. 정렬 조건이 없는 경우 지문에 제시된 행의 순서를 기준으로 작성하고, NULL 값은 NULL 로 입력합니다. [도서] 도서번호 도서명 가격 B01 SQL입문 18000 B02 파이썬기초 22000 B03 자바완성 30000 SELECT 도서명 FROM 도서 WHERE 가격 >= 22000;","SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,18,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,"다음 SQL문이 올바르게 실행되도록 빈칸에 들어갈 값을 쓰시오. SELECT 이름, 지역 FROM 회원 WHERE 지역 = '( )'; 조건: 지역이 서울인 회원만 조회한다.","SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
sql,19,제2장 WHERE 조건식 기초,WHERE 조건식,WHERE 조건식,Y,SQL 절/장/키워드 기준 매칭,다음 사원 테이블에서 급여 가 300 이상인 사원의 이름 을 조회하는 SQL문을 쓰시오. [사원] 사원번호 이름 급여 1001 김민수 280 1002 박서연 300 1003 이도윤 320,"SELECT 도서명, 가격 FROM 도서 WHERE 가격 >= 15000; -- 조건을 만족하는 행만 조회합니다.",N,문제별 실제 코드/지문 기준으로 예시를 재매칭했습니다. 예시는 문제와 다른 값·상황으로 구성했습니다.
