subject,question_no,chapter,detected_concept,review_action,reason,example_policy,examples_count,quick_points_count
SQL,1,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,2,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,3,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,4,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,5,제1장 SELECT 기본 조회,논리 조건과 NULL,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,6,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,7,제1장 SELECT 기본 조회,논리 조건과 NULL,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,8,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,9,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,10,제1장 SELECT 기본 조회,SELECT 기본 조회,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,11,제2장 WHERE 조건식 기초,WHERE 조건식,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,1,3
SQL,12,제2장 WHERE 조건식 기초,WHERE 조건식,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,1,3
SQL,13,제2장 WHERE 조건식 기초,WHERE 조건식,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,1,3
SQL,14,제2장 WHERE 조건식 기초,논리 조건과 NULL,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,2,3
SQL,15,제2장 WHERE 조건식 기초,WHERE 조건식,전수 검토 후 학습하기 재매칭,"실제 문제 코드/지문 기준으로 핵심 개념, 예시, 풀이 순서, 자주 하는 실수를 다시 맞춤",문제와 같은 코드·숫자·문자열을 그대로 반복하지 않고 같은 개념의 다른 예시 사용,1,3
